公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,年月,上市別,年,月
1527,鑽全,-,-14.75,403633,25.41,274371,344093,25.41,274371,344093,110/01,TSE,110,1
1528,恩德,-,-32.48,320896,-6.28,231176,216644,-6.28,231176,216644,110/01,TSE,110,1
1529,樂事綠能,本期因無太陽能工程案營收致營收驟減,-65.94,16429,-91.85,68676,5595,-91.85,68676,5595,110/01,TSE,110,1
1530,亞崴,-,-18.12,305397,39.83,178804,250039,39.83,178804,250039,110/01,TSE,110,1
1531,高林股,因去年年假在1月，上班天數少影響出貨所致。,37.57,176732,114.71,113241,243146,114.71,113241,243146,110/01,TSE,110,1
1532,勤美,-,-45.11,2122105,37.54,846719,1164624,37.54,846719,1164624,110/01,TSE,110,1
1535,中宇,-,-22.85,846577,15.36,566085,653089,15.36,566085,653089,110/01,TSE,110,1
1537,廣隆,-,-9.14,677979,18.57,519466,615961,18.57,519466,615961,110/01,TSE,110,1
1538,正峰,-,-32.47,25358,-27.02,23464,17124,-27.02,23464,17124,110/01,TSE,110,1
1539,巨庭,-,-11.54,236566,27.41,164226,209247,27.41,164226,209247,110/01,TSE,110,1
1540,喬福,-,-14.45,52907,12.59,40196,45257,12.59,40196,45257,110/01,TSE,110,1
1541,錩泰,-,-10.9,548903,17.73,415373,489059,17.73,415373,489059,110/01,TSE,110,1
1558,伸興,"本月增加百分比達50%以上,係因歐美縫紉機需求增加",75.25,559730,190.65,337493,980933,190.65,337493,980933,110/01,TSE,110,1
1560,中砂,-,0.79,469077,19.61,395279,472827,19.61,395279,472827,110/01,TSE,110,1
1583,程泰,-,-5.45,516599,46.15,334189,488443,46.15,334189,488443,110/01,TSE,110,1
1597,直得,市場需求增加,3.01,131541,66.04,81609,135504,66.04,81609,135504,110/01,TSE,110,1
2049,上銀,主係美中貿易戰及新冠肺炎影響趨緩，市場需求逐漸恢復正常所致。,-7.47,2124419,89.14,1039231,1965642,89.14,1039231,1965642,110/01,TSE,110,1
2371,大同,-,-3.13,2529089,-2.6,2515305,2449678,-2.6,2515305,2449678,110/01,TSE,110,1
3167,大量,市場設備需求逐漸復甦所致,2.61,323309,188.89,114835,331751,188.89,114835,331751,110/01,TSE,110,1
4526,東台,-,-31.49,855144,-3.1,604580,585796,-3.1,604580,585796,110/01,TSE,110,1
4532,瑞智,-,-4.32,1977380,22.4,1545582,1891854,22.4,1545582,1891854,110/01,TSE,110,1
4540,全球傳動,-,-47.6,269869,47.58,95811,141398,47.58,95811,141398,110/01,TSE,110,1
4555,氣立,1.去年適逢農曆年，工作天期較少，基值較低 2.因應客戶農曆年前的提升備貨量及市場需求，致營收較去年成長80.56%,12.02,136274,80.55,84552,152664,80.55,84552,152664,110/01,TSE,110,1
4562,穎漢,-,5.87,59710,15.95,54517,63215,15.95,54517,63215,110/01,TSE,110,1
4564,元翎,本月及本年營收較去年同期增加，主要係因高壓充氣鋼瓶出貨量增加及去年同期適逢農曆春節假期營業天數較少所致。,1.61,203153,75.46,117656,206442,75.46,117656,206442,110/01,TSE,110,1
4566,時碩工業,-,46.94,307810,39.12,325119,452308,39.12,325119,452308,110/01,TSE,110,1
4572,駐龍,-,15.96,18127,-47.59,40109,21021,-47.59,40109,21021,110/01,TSE,110,1
4576,大銀微系統,去年一月適逢農曆春節假期，致營收較去年同期成長65.51%。,-8.78,233960,65.5,128944,213411,65.5,128944,213411,110/01,TSE,110,1
4583,台灣精銳,-,-19.54,294814,3.85,228384,237182,3.85,228384,237182,110/01,TSE,110,1
8222,寶一,因疫情影響,55.68,13103,-63.99,56655,20399,-63.99,56655,20399,110/01,TSE,110,1
8374,羅昇,主要係因109年1月適逢農曆春節營業天數較少，致營收增加百分比大於50%以上,19.14,280843,91.6,174636,334614,91.6,174636,334614,110/01,TSE,110,1
8996,高力,-,-34.15,258254,27.26,133622,170058,27.26,133622,170058,110/01,TSE,110,1
1603,華電,-,36.21,194902,34.69,197104,265490,34.69,197104,265490,110/01,TSE,110,1
1604,聲寶,-,36.95,618176,16.8,724844,846631,16.8,724844,846631,110/01,TSE,110,1
1605,華新,-,-13.91,11826620,26.26,8063234,10181000,26.26,8063234,10181000,110/01,TSE,110,1
1608,華榮,-,1.67,660258,23.65,542860,671293,23.65,542860,671293,110/01,TSE,110,1
1609,大亞,因本期銅價較去年同期漲幅逾12% ，且去年1月適逢春節假期，較去年同期工作天數較多所致。,3.9,2055603,77.41,1203912,2135936,77.41,1203912,2135936,110/01,TSE,110,1
1611,中電,-,5.59,173175,5.81,172810,182866,5.81,172810,182866,110/01,TSE,110,1
1612,宏泰,-,15.44,372804,49.52,287849,430393,49.52,287849,430393,110/01,TSE,110,1
1614,三洋電,-,21.8,392759,7.93,443227,478400,7.93,443227,478400,110/01,TSE,110,1
1615,大山,-,-26.85,357448,48.86,175644,261465,48.86,175644,261465,110/01,TSE,110,1
1616,億泰,-,-29.78,286586,16.71,172405,201227,16.71,172405,201227,110/01,TSE,110,1
1617,榮星,因本期銅價較去年同期上漲，且去年1月適逢春節假期，而本期工作天數較多所致。,11.11,335579,90.18,196052,372868,90.18,196052,372868,110/01,TSE,110,1
1618,合機,"110年1月業主通知交貨較多,致高壓線及光放管等出貨量較去年同期增加",74.02,147928,185.17,90271,257430,185.17,90271,257430,110/01,TSE,110,1
4930,燦星網,"109/3/27董事會決議處分燦星國旅全數持股，109年第一季起將該公司轉列停業單位，合併營收109年1月累積扣除61,204仟元。",14.62,876251,46.22,686914,1004435,46.22,686914,1004435,110/01,TSE,110,1
5283,禾聯碩,-,8.37,434051,36.19,345388,470400,36.19,345388,470400,110/01,TSE,110,1
1708,東鹼,-,-14.13,338602,-16.76,349300,290746,-16.76,349300,290746,110/01,TSE,110,1
1709,和益,-,22.87,661970,5.45,771316,813366,5.45,771316,813366,110/01,TSE,110,1
1710,東聯,無,18.24,1700879,44.54,1391398,2011182,44.54,1391398,2011182,110/01,TSE,110,1
1711,永光,-,4.35,789367,24.48,661699,823732,24.48,661699,823732,110/01,TSE,110,1
1712,興農,-,17.87,1346687,3.86,1528330,1587445,3.86,1528330,1587445,110/01,TSE,110,1
1713,國化,-,-14.52,55557,29.01,36808,47489,29.01,36808,47489,110/01,TSE,110,1
1714,和桐,-,-6.0,1915455,-0.82,1815402,1800434,-0.82,1815402,1800434,110/01,TSE,110,1
1717,長興,109年1月份有農曆春節假期，又月底大陸地區因COVID-19限制復工；110年1月營運天數相較109年同比增加。,0.53,4094184,75.88,2340333,4116280,75.88,2340333,4116280,110/01,TSE,110,1
1718,中纖,本月份自結異業別合併營收資訊，未經會計師簽證或核閱,-2.67,2391658,-13.11,2679023,2327601,-13.11,2679023,2327601,110/01,TSE,110,1
1721,三晃,-,32.82,201656,6.47,251563,267847,6.47,251563,267847,110/01,TSE,110,1
1722,台肥,-,52.48,693838,10.28,959280,1057966,10.28,959280,1057966,110/01,TSE,110,1
1723,中碳,-,-9.34,503615,-17.61,554160,456534,-17.61,554160,456534,110/01,TSE,110,1
1725,元禎,-,-6.62,841682,26.8,619818,785959,26.8,619818,785959,110/01,TSE,110,1
1726,永記,-,-0.81,792970,20.17,654464,786523,20.17,654464,786523,110/01,TSE,110,1
1727,中華化,-,8.03,144827,-3.21,161650,156461,-3.21,161650,156461,110/01,TSE,110,1
1730,花仙子,-,100.56,234003,48.99,314995,469327,48.99,314995,469327,110/01,TSE,110,1
1732,毛寶,-,3.24,62685,31.58,49183,64719,31.58,49183,64719,110/01,TSE,110,1
1735,日勝化,去年農曆新年在1月，今年在2月,-16.45,266860,62.84,136916,222960,62.84,136916,222960,110/01,TSE,110,1
1773,勝一,-,4.42,727875,27.17,597684,760089,27.17,597684,760089,110/01,TSE,110,1
1776,展宇,-,-13.97,150568,14.45,113169,129522,14.45,113169,129522,110/01,TSE,110,1
3708,上緯投控,客戶訂單增加，帶動我司營收成長,15.39,943406,193.74,370619,1088688,193.74,370619,1088688,110/01,TSE,110,1
4720,德淵,"營收金額較去年同期增加152,129仟元、比例增加83.87%，主要係因客戶春節前備貨及大陸市場持續回溫所致。",0.2,332814,83.87,181383,333512,83.87,181383,333512,110/01,TSE,110,1
